timestamps,open,high,low,close,volume,amount
2024-01-02,1608.68,1611.87,1571.78,1578.69,32156,5440082548.0
2024-01-03,1574.79,1588.9,1570.01,1587.68,20229,3411400667.0
2024-01-04,1586.68,1586.68,1556.61,1562.68,21551,3603970147.0
2024-01-05,1555.01,1572.34,1545.79,1557.04,20243,3373155627.0
2024-01-08,1554.68,1555.68,1533.69,1537.67,25586,4211918629.0
2024-01-09,1534.69,1546.0,1528.75,1534.68,24412,4009826496.0
2024-01-10,1534.78,1553.14,1531.68,1535.18,17351,2856120718.0
2024-01-11,1533.78,1551.62,1531.74,1540.25,16441,2708764500.0
2024-01-12,1533.65,1544.94,1533.08,1536.74,11603,1908084612.0
2024-01-15,1528.68,1548.65,1528.13,1533.68,17854,2931202343.0
2024-01-16,1532.18,1540.68,1518.62,1533.11,25903,4236042960.0
2024-01-17,1523.68,1529.16,1470.68,1470.68,51633,8251735591.0
2024-01-18,1467.68,1506.48,1449.23,1504.55,60440,9566349514.0
2024-01-19,1502.55,1531.69,1494.56,1528.68,46378,7550144389.0
2024-01-22,1522.68,1536.68,1512.56,1535.68,46946,7678297836.0
2024-01-23,1525.69,1533.63,1502.68,1512.68,34835,5659457115.0
2024-01-24,1522.68,1527.52,1497.24,1519.68,33216,5373603703.0
2024-01-25,1520.5,1534.68,1515.68,1531.68,31206,5094508165.0
2024-01-26,1524.04,1537.78,1516.68,1531.0,26955,4402111882.0
2024-01-29,1533.98,1554.26,1533.97,1543.68,31421,5189014946.0
2024-01-30,1543.66,1543.66,1503.68,1506.68,30866,5010784454.0
2024-01-31,1506.68,1513.65,1491.81,1498.59,29649,4770104891.0
2024-02-01,1499.18,1517.57,1494.68,1503.71,26485,4272298576.0
2024-02-02,1508.68,1521.46,1474.68,1489.68,39382,6336691194.0
2024-02-05,1489.68,1531.12,1488.93,1523.69,53130,8590683071.0
2024-02-06,1523.69,1579.16,1519.78,1569.68,52472,8740646588.0
2024-02-07,1574.71,1608.27,1555.29,1604.67,52601,8899606867.0
2024-02-08,1613.69,1618.68,1578.68,1599.68,46757,7953438044.0
2024-02-19,1631.55,1631.61,1581.68,1589.11,36977,6288277980.0
2024-02-20,1591.04,1591.04,1550.24,1563.68,34470,5755266893.0
2024-02-21,1559.7,1624.68,1555.68,1611.34,46154,7868784082.0
2024-02-22,1601.18,1616.69,1594.21,1612.06,22794,3905984695.0
2024-02-23,1604.79,1618.06,1593.7,1607.77,27306,4670706950.0
2024-02-26,1601.68,1602.42,1578.7,1588.66,27318,4625594409.0
2024-02-27,1576.68,1586.6,1571.68,1583.18,22080,3718478358.0
2024-02-28,1582.6,1590.25,1567.69,1575.23,31867,5371312847.0
2024-02-29,1575.23,1590.18,1572.88,1588.68,24758,4184917973.0
2024-03-01,1583.68,1588.65,1570.36,1578.74,26868,4526845398.0
2024-03-04,1572.68,1574.67,1563.73,1569.98,26485,4434401015.0
2024-03-05,1564.49,1590.68,1560.36,1588.78,36238,6102136582.0
2024-03-06,1584.68,1588.68,1571.7,1574.23,22142,3725582802.0
2024-03-07,1573.68,1583.48,1571.68,1577.31,21599,3633934774.0
2024-03-08,1574.24,1580.36,1563.73,1565.11,22156,3710678522.0
2024-03-11,1568.68,1592.56,1566.86,1588.17,29895,5048394347.0
2024-03-12,1587.62,1642.78,1584.18,1638.68,54227,9393309052.0
2024-03-13,1633.65,1641.68,1613.78,1621.13,26500,4588879420.0
2024-03-14,1612.68,1628.52,1605.18,1610.31,19405,3338768308.0
2024-03-15,1606.18,1626.08,1605.68,1611.17,17834,3066692399.0
2024-03-18,1608.68,1613.53,1592.68,1601.94,26055,4446059130.0
2024-03-19,1596.68,1613.62,1586.79,1601.7,23948,4093701261.0
2024-03-20,1597.04,1607.36,1593.91,1603.28,15249,2604543856.0
2024-03-21,1601.78,1612.68,1598.18,1602.68,16596,2839332631.0
2024-03-22,1598.71,1602.67,1581.68,1595.03,25456,4318592818.0
2024-03-25,1592.22,1592.45,1574.26,1582.69,24473,4131446237.0
2024-03-26,1581.14,1606.48,1581.14,1602.97,28069,4782899074.0
2024-03-27,1598.68,1605.68,1592.68,1594.68,18113,3087792980.0
2024-03-28,1588.68,1611.68,1586.88,1595.32,24642,4201857059.0
2024-03-29,1595.32,1604.67,1591.78,1596.58,13457,2290584417.0
2024-04-01,1603.67,1627.68,1602.38,1615.01,27131,4679371035.0
2024-04-02,1615.68,1618.67,1598.73,1607.67,25449,4360973684.0
2024-04-03,1627.68,1633.12,1603.7,1608.79,29046,5002390042.0
2024-04-08,1588.68,1589.68,1556.28,1560.34,59167,9907355766.0
2024-04-09,1554.35,1566.68,1552.13,1555.9,25590,4256226333.0
2024-04-10,1555.95,1558.67,1538.68,1541.66,27631,4562853880.0
2024-04-11,1533.79,1543.68,1528.37,1541.68,22766,3736417595.0
2024-04-12,1544.68,1557.68,1527.71,1527.71,26744,4403968129.0
2024-04-15,1528.69,1569.29,1528.66,1566.66,35818,5960815532.0
2024-04-16,1559.17,1573.24,1552.68,1563.68,26266,4382796962.0
2024-04-17,1561.68,1568.88,1551.68,1560.68,24819,4130322018.0
2024-04-18,1552.69,1576.66,1551.86,1564.46,26568,4445487745.0
2024-04-19,1554.46,1562.18,1534.96,1540.32,23500,3879233242.0
2024-04-22,1547.68,1572.56,1538.68,1568.74,29951,5001684635.0
2024-04-23,1568.68,1588.68,1568.68,1585.96,24980,4217855279.0
2024-04-24,1590.66,1593.59,1577.01,1587.28,17086,2893555635.0
2024-04-25,1584.01,1589.28,1575.93,1586.72,14476,2447183879.0
2024-04-26,1587.68,1607.68,1587.66,1603.11,30996,5290248521.0
2024-04-29,1590.63,1621.68,1587.5,1597.68,41332,7072096590.0
2024-04-30,1598.69,1623.56,1598.68,1598.68,30760,5273902374.0
2024-05-06,1627.65,1658.68,1620.68,1653.88,59909,10504351712.0
2024-05-07,1659.47,1671.48,1650.36,1663.68,24925,4413196426.0
2024-05-08,1663.37,1663.65,1649.35,1657.65,14769,2603293863.0
2024-05-09,1651.68,1658.66,1643.68,1649.68,22387,3929804849.0
2024-05-10,1654.78,1661.56,1627.67,1632.66,26207,4571398242.0
2024-05-13,1625.7,1626.34,1594.9,1599.68,37662,6435415674.0
2024-05-14,1599.67,1606.95,1593.69,1595.66,21274,3623282672.0
2024-05-15,1596.26,1601.68,1592.27,1593.68,15739,2677203002.0
2024-05-16,1598.68,1603.56,1583.68,1598.18,29680,5048754769.0
2024-05-17,1593.69,1610.26,1593.68,1608.68,28924,4936920634.0
2024-05-20,1611.67,1626.67,1601.79,1602.68,31426,5401389335.0
2024-05-21,1601.68,1603.41,1591.84,1598.68,16293,2776847499.0
2024-05-22,1596.68,1603.64,1584.68,1591.39,20286,3443977767.0
2024-05-23,1593.68,1600.06,1583.76,1585.69,18885,3199923320.0
2024-05-24,1586.68,1588.68,1570.68,1570.76,20217,3401323915.0
2024-05-27,1571.68,1581.13,1561.69,1563.8,25098,4199001866.0
2024-05-28,1564.08,1568.85,1556.68,1558.32,23521,3923020375.0
2024-05-29,1559.68,1573.68,1558.68,1567.68,19651,3289173345.0
2024-05-30,1568.68,1569.06,1542.68,1542.68,32208,5333306808.0
2024-05-31,1544.18,1557.18,1542.13,1542.13,21857,3617654788.0
2024-06-03,1543.68,1544.6,1528.79,1533.07,30261,4966041477.0
2024-06-04,1534.18,1549.68,1530.23,1546.88,20841,3432497303.0
2024-06-05,1545.68,1552.36,1536.71,1537.68,19056,3140824328.0
2024-06-06,1537.34,1545.67,1529.59,1533.49,25610,4205700983.0
2024-06-07,1539.81,1539.86,1512.69,1512.86,33525,5453120695.0
2024-06-11,1496.67,1498.68,1460.68,1462.68,70247,11090577610.0
2024-06-12,1463.68,1483.68,1463.68,1465.36,33171,5230086503.0
2024-06-13,1470.45,1470.57,1446.83,1448.69,36186,5654938942.0
2024-06-14,1448.68,1457.64,1414.14,1448.68,59514,9177637168.0
